"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","Вошедший пользователь выполняет действие, приложение передаёт его во внешний сервис","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","actionAfterLogin"
"","52","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 404","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"","17","Некорректный токен отклоняется, внешний сервис не вызывается Спецсимвол","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","28","Запрос без токена отклоняется","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","missingTokenIsRejected"
"","49","Вход без корректного API-ключа запрещён: сессия не создаётся, внешний сервис не вызывается Пустое значение","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","loginWithoutValidApiKeyIsUnauthorized"
"","66","Вход без корректного API-ключа запрещён: сессия не создаётся, внешний сервис не вызывается Ключ без последнего символа","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","loginWithoutValidApiKeyIsUnauthorized"
"","86","Из 20 одновременных выходов с одним токеном успешен ровно один","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","Одновременные запросы","kz.dias.aqa.tests.ConcurrencyTest","concurrentLogoutsSucceedOnce"
"","25","Некорректное действие отклоняется, внешний сервис не вызывается Неизвестное действие","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация действия (action)","kz.dias.aqa.tests.ActionValidationTest","invalidActionIsRejected"
"","30","Действие после выхода запрещено","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","actionAfterLogoutIsForbidden"
"Когда внешний сервис отвечает ошибкой, приложение возвращает «500 Internal Server Error» —
как будто сломалось оно само. Правильнее «502 Bad Gateway»: это помогает быстро понять,
что проблема во внешней системе. Документация этот случай не описывает, ожидание основано
на стандарте HTTP (RFC 9110).","66","[BUG-3] Сбой внешнего сервиса возвращается как 502 Bad Gateway, а не как внутренняя ошибка 500","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","externalFailureIsReportedAsBadGateway"
"","44","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 500","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"","3775","Действие с неверным API-ключом запрещено даже для вошедшего пользователя","","Thu Sep 24 07:36:31 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","actionWithWrongApiKeyIsUnauthorized"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что действие выполнено.
Сейчас приложение сообщает пользователю об успехе.","68","[BUG-2] Перенаправление (3xx) от /doAction не считается успешным действием Внешний сервис ответил HTTP 301","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromDoActionIsNotSuccess"
"","21","Некорректный токен отклоняется, внешний сервис не вызывается Пробел внутри","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","75","Некорректный токен отклоняется, внешний сервис не вызывается Пустая строка","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","18","Некорректное действие отклоняется, внешний сервис не вызывается Нижний регистр","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация действия (action)","kz.dias.aqa.tests.ActionValidationTest","invalidActionIsRejected"
"","15","Некорректный токен отклоняется, внешний сервис не вызывается SQL-инъекция","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","74","Выход с неверным API-ключом запрещён, сессия сохраняется","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","logoutWithWrongApiKeyIsUnauthorized"
"Эндпоинт принимает только POST. На запрос методом GET приложение должно ответить «405 Method Not Allowed», а сейчас отвечает «500 Internal Server Error» — клиенту непонятно, что он сделал не так.","35","Метод GET вместо POST отклоняется с кодом 405 Method Not Allowed","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","[BUG-4] Некорректные HTTP-запросы","kz.dias.aqa.tests.ProtocolTest","getMethodIsNotAllowed"
"","22","Некорректный токен отклоняется, внешний сервис не вызывается 64 символа","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","28","Корректный токен (32 символа 0–9, A–F) принимается Цифры и буквы","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","validTokenIsAccepted"
"","89","После неудачной попытки входа можно войти снова","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginRetryAfterFailureSucceeds"
"","51","Вошедший пользователь может выполнить действие несколько раз подряд","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","actionCanBeRepeated"
"","56","Из 20 одновременных входов с одним токеном успешен ровно один, внешний сервис вызывается один раз","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:38 UTC 2026","","Одновременные запросы","kz.dias.aqa.tests.ConcurrencyTest","concurrentLoginsCreateSingleSession"
"","54","Ошибка внешнего сервиса при действии не завершает сессию пользователя Внешний сервис ответил HTTP 500","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","failedActionKeepsSession"
"","24","Действие не выполняется, если внешний сервис недоступен","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","actionFailsWhenDoActionIsUnavailable"
"","59","Повторный вход с тем же токеном отклоняется, внешний сервис повторно не вызывается","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","repeatedLoginIsRejected"
"","20","Некорректный токен отклоняется, внешний сервис не вызывается Строчные буквы","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","77","Вход без корректного API-ключа запрещён: сессия не создаётся, внешний сервис не вызывается Заголовок отсутствует","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","loginWithoutValidApiKeyIsUnauthorized"
"","20","Некорректный токен отклоняется, внешний сервис не вызывается 1 символ","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","21","Некорректный токен отклоняется, внешний сервис не вызывается 31 символ (на 1 меньше нормы)","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","19","Некорректное действие отклоняется, внешний сервис не вызывается Смешанный регистр","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация действия (action)","kz.dias.aqa.tests.ActionValidationTest","invalidActionIsRejected"
"","30","Некорректный токен отклоняется, внешний сервис не вызывается 33 символа (на 1 больше нормы)","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что вход подтверждён.
Сейчас приложение считает такой ответ успехом и создаёт сессию — пользователь
получает доступ без реального подтверждения.","3517","[BUG-2] Перенаправление (3xx) от /auth не считается успешным входом Внешний сервис ответил HTTP 301","","Thu Sep 24 07:36:45 UTC 2026","failed","Thu Sep 24 07:36:48 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromAuthIsNotSuccess"
"","32","Некорректное действие отклоняется, внешний сервис не вызывается Параметр отсутствует","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация действия (action)","kz.dias.aqa.tests.ActionValidationTest","invalidActionIsRejected"
"","23","Вход одного пользователя не даёт права на действия другому","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","sessionsAreIsolatedBetweenTokens"
"","40","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 403","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"","27","Корректный токен (32 символа 0–9, A–F) принимается Только буквы A–F","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","validTokenIsAccepted"
"","34","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 401","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"По документации токен — это 32 символа из набора A–Z и 0–9.
Приложение же принимает только буквы A–F (шестнадцатеричный формат) и отклоняет
токены с буквами G–Z. Пользователь с таким токеном не сможет войти.","39","[BUG-1] Токен с буквами G–Z принимается (по документации алфавит A–Z0–9)","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","tokenWithAnyLatinLetterIsAccepted"
"","51","Ошибка внешнего сервиса при действии не завершает сессию пользователя Внешний сервис ответил HTTP 404","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","failedActionKeepsSession"
"","24","Некорректное действие отклоняется, внешний сервис не вызывается Пустая строка","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация действия (action)","kz.dias.aqa.tests.ActionValidationTest","invalidActionIsRejected"
